1782436097.136424, EfficientNetv2 S Imagenette training, pipeline, prepare, start, 4555162974621894
1782436097.136653, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, start, 4555162974715526
1782436097.137375, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, end, 4555162975437000
1782436097.137396, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, start, 4555162975455864
1782436097.609077, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, end, 4555163447162113
1782436097.609173, EfficientNetv2 S Imagenette training, pipeline, prepare, end, 4555163447240353
1782436097.611030, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 94179266651731575800450141647615707393, 1782436097.610711, 1, 1, 4555163449120165
1782436097.613298, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555163451367001
1782436097.656199, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555163494283148
1782436097.656981, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555163495055693
1782436098.097955, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555163936033739
1782436098.099188, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 94179266651731575800450141647615707393, 1782436097.610711, 1, 1, 4555163937272701
1782436098.100763, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 138394309943358984796249005580041426310, 1782436098.100594, 1, 2, 4555163938844800
1782436098.102642, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555163940722260
1782436098.171544, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555164009629160
1782436098.172003, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555164010069097
1782436098.211380, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555164049445940
1782436098.212067, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 138394309943358984796249005580041426310, 1782436098.100594, 1, 2, 4555164050156470
1782436098.213830, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 277456751185698773535793917016478312300, 1782436098.213671, 1, 3, 4555164051905737
1782436098.215844, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555164053919677
1782436098.280655, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555164118728137
1782436098.281613, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555164119684427
1782436098.326360, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555164164432049
1782436098.326875, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 277456751185698773535793917016478312300, 1782436098.213671, 1, 3, 4555164164961458
1782436098.328894, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 313267496370269984694836561364533891809, 1782436098.328705, 1, 4, 4555164166978774
1782436098.330607, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555164168680537
1782436098.366102, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555164204178557
1782436098.366543, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555164204611982
1782436098.405336, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555164243408856
1782436098.406199, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 313267496370269984694836561364533891809, 1782436098.328705, 1, 4, 4555164244282474
1782436098.408125, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 9051001077849043173347151575770561234, 1782436098.407941, 1, 5, 4555164246206493
1782436098.409637, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555164247716320
1782436098.433172, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555164271243005
1782436098.433570, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555164271638494
1782436098.473905, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555164311978571
1782436098.475008, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 9051001077849043173347151575770561234, 1782436098.407941, 1, 5, 4555164313094749
1782436098.476991, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 151191323922019472902126297479610234668, 1782436098.476809, 1, 6, 4555164315070209
1782436098.478642, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555164316714292
1782436098.502761, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555164340832307
1782436098.503245, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555164341313283
1782436098.615132, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555164453203290
1782436098.615964, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 151191323922019472902126297479610234668, 1782436098.476809, 1, 6, 4555164454052011
1782436098.617844, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 188301840444404882638790143594820713645, 1782436098.617602, 1, 7, 4555164455923599
1782436098.619498, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555164457572546
1782436098.647830, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555164485906184
1782436098.648254, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555164486324105
1782436098.689302, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555164527372248
1782436098.690630, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 188301840444404882638790143594820713645, 1782436098.617602, 1, 7, 4555164528720667
1782436098.693030, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 100926535334997843389380090247286680475, 1782436098.692418, 1, 8, 4555164531130623
1782436098.695017, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555164533090355
1782436098.722208, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555164560282807
1782436098.722628, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555164560696440
1782436098.761846, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555164599918291
1782436098.762735, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 100926535334997843389380090247286680475, 1782436098.692418, 1, 8, 4555164600822357
1782436098.764587, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 115587034053019433504498574934354433232, 1782436098.764409, 1, 9, 4555164602667768
1782436098.766323, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555164604406252
1782436098.786243, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555164624314002
1782436098.786742, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555164624811795
1782436098.826439, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555164664513951
1782436098.829017, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 115587034053019433504498574934354433232, 1782436098.764409, 1, 9, 4555164667095956
