1782437242.119074, EfficientNetv2 S Imagenette training, pipeline, prepare, start, 4556307957265408
1782437242.119302, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, start, 4556307957363712
1782437242.120376, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, end, 4556307958437920
1782437242.120398, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, start, 4556307958458144
1782437242.579877, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, end, 4556308417960113
1782437242.579970, EfficientNetv2 S Imagenette training, pipeline, prepare, end, 4556308418039009
1782437242.582902, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 232533100971744079440336549643202108191, 1782437242.582066, 1, 1, 4556308420984305
1782437242.584265, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4556308422332098
1782437242.636379, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4556308474460349
1782437242.636867, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4556308474940669
1782437243.059125, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4556308897202357
1782437243.060498, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 232533100971744079440336549643202108191, 1782437242.582066, 1, 1, 4556308898585206
1782437243.062412, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 183396836075138496360080625156643308620, 1782437243.062095, 1, 2, 4556308900487654
1782437243.063714, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4556308901793366
1782437243.114049, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4556308952131793
1782437243.114308, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4556308952384001
1782437243.154747, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4556308992824009
1782437243.155477, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 183396836075138496360080625156643308620, 1782437243.062095, 1, 2, 4556308993558234
1782437243.157174, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 186826530510570118521811987564631036315, 1782437243.156940, 1, 3, 4556308995248314
1782437243.158873, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4556308996954778
1782437243.200788, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4556309038860355
1782437243.201408, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4556309039485779
1782437243.272560, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4556309110631634
1782437243.273185, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 186826530510570118521811987564631036315, 1782437243.156940, 1, 3, 4556309111265522
1782437243.275389, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 291425501592702833589721789593105765787, 1782437243.275072, 1, 4, 4556309113474067
1782437243.277100, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4556309115172227
1782437243.299522, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4556309137595736
1782437243.300231, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4556309138311848
1782437243.340504, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4556309178572208
1782437243.341197, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 291425501592702833589721789593105765787, 1782437243.275072, 1, 4, 4556309179274448
1782437243.343436, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 231249748406342900036337743296015888895, 1782437243.343192, 1, 5, 4556309181515777
1782437243.344925, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4556309182999745
1782437243.369936, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4556309208009334
1782437243.370581, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4556309208660807
1782437243.410959, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4556309249040063
1782437243.411615, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 231249748406342900036337743296015888895, 1782437243.343192, 1, 5, 4556309249695023
1782437243.413631, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 167881139900860413758708855453598889456, 1782437243.413343, 1, 6, 4556309251713664
1782437243.415345, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4556309253418352
1782437243.439118, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4556309277188453
1782437243.439906, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4556309277986245
1782437243.481368, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4556309319443966
1782437243.482508, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 167881139900860413758708855453598889456, 1782437243.413343, 1, 6, 4556309320586286
1782437243.485566, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 72436617538702453102477898280976624604, 1782437243.485317, 1, 7, 4556309323645327
1782437243.489036, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4556309327113423
1782437243.573616, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4556309411698081
1782437243.574098, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4556309412171857
1782437243.613164, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4556309451233721
1782437243.613736, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 72436617538702453102477898280976624604, 1782437243.485317, 1, 7, 4556309451815977
1782437243.615921, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 238394420868769767633644285018303135117, 1782437243.615604, 1, 8, 4556309454008170
1782437243.617808, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4556309455883946
1782437243.670217, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4556309508299301
1782437243.670413, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4556309508490021
1782437243.711207, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4556309549275678
1782437243.712120, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 238394420868769767633644285018303135117, 1782437243.615604, 1, 8, 4556309550198606
1782437243.714315, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 114599918039374147433265498296846438270, 1782437243.713790, 1, 9, 4556309552394862
1782437243.715983, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4556309554066639
1782437243.773190, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4556309611276011
1782437243.774233, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4556309612303355
1782437243.854531, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4556309692604556
1782437243.855166, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 114599918039374147433265498296846438270, 1782437243.713790, 1, 9, 4556309693249836
1782437243.857020, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 226145368226838504143871486767765227476, 1782437243.856774, 1, 10, 4556309695096588
1782437243.858665, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4556309696741501
1782437243.911194, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4556309749282440
1782437243.911712, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4556309749779704
1782437243.952250, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4556309790328768
1782437243.953171, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 226145368226838504143871486767765227476, 1782437243.856774, 1, 10, 4556309791249536
1782437243.955259, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 189102875774258526517064318270993619408, 1782437243.954911, 1, 11, 4556309793334817
1782437243.956434, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4556309794506049
1782437244.002503, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4556309840590059
1782437244.003038, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4556309841105899
1782437244.046529, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4556309884598804
1782437244.048235, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 189102875774258526517064318270993619408, 1782437243.954911, 1, 11, 4556309886299572
1782437244.049781, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 298110223116618536240021689827965303952, 1782437244.049430, 1, 12, 4556309887862421
1782437244.056838, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4556309894910278
1782437244.129544, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4556309967621301
1782437244.129832, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4556309967901605
1782437244.169306, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4556310007379773
1782437244.170194, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 298110223116618536240021689827965303952, 1782437244.049430, 1, 12, 4556310008279470
