1782436671.452784, EfficientNetv2 S Imagenette training, pipeline, prepare, start, 4555737290978290
1782436671.453010, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, start, 4555737291071698
1782436671.454159, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, end, 4555737292221587
1782436671.454181, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, start, 4555737292240947
1782436671.921581, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, end, 4555737759667801
1782436671.921675, EfficientNetv2 S Imagenette training, pipeline, prepare, end, 4555737759742697
1782436671.923918, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 231735118423647688378004856169856308023, 1782436671.923660, 1, 1, 4555737761985275
1782436671.925430, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555737763504811
1782436671.973250, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555737811336346
1782436671.973485, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555737811565450
1782436672.416346, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555738254423184
1782436672.416780, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 231735118423647688378004856169856308023, 1782436671.923660, 1, 1, 4555738254848512
1782436672.418284, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 227276359586137369653248648458129828434, 1782436672.417979, 1, 2, 4555738256368241
1782436672.420030, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555738258113266
1782436672.471675, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555738309760514
1782436672.471782, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555738309856931
1782436672.512595, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555738350672876
1782436672.513095, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 227276359586137369653248648458129828434, 1782436672.417979, 1, 2, 4555738351174012
1782436672.514403, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 224987299460189780481675608519285341778, 1782436672.514184, 1, 3, 4555738352494173
1782436672.516304, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555738354386862
1782436672.579128, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555738417214790
1782436672.580776, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555738418850151
1782436672.632710, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555738470781511
1782436672.633109, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 224987299460189780481675608519285341778, 1782436672.514184, 1, 3, 4555738471181848
1782436672.634146, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 157338021772563008978828210840105235148, 1782436672.633934, 1, 4, 4555738472239816
1782436672.635934, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555738474032793
1782436672.683158, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555738521247127
1782436672.683279, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555738521356551
1782436672.722933, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555738560998624
1782436672.723190, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 157338021772563008978828210840105235148, 1782436672.633934, 1, 4, 4555738561258016
1782436672.724441, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 289026702194192079660391607105717279770, 1782436672.724279, 1, 5, 4555738562521569
1782436672.726644, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555738564720834
1782436672.773564, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555738611649712
1782436672.773669, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555738611742944
1782436672.813011, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555738651089481
1782436672.813443, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 289026702194192079660391607105717279770, 1782436672.724279, 1, 5, 4555738651519081
1782436672.814986, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 311968655943563151431440227645732547366, 1782436672.814741, 1, 6, 4555738653067050
1782436672.818805, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555738656878764
1782436672.906165, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555738744241971
1782436672.906745, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555738744821844
1782436672.946120, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 311968655943563151431440227645732547366, 1782436672.814741, 1, 6, 4555738784191260
1782436672.946215, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555738784286492
1782436672.947868, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 84952403918734822763788043733328325720, 1782436672.947240, 1, 7, 4555738785948541
1782436672.949475, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555738787551022
1782436672.975715, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555738813792591
1782436672.976318, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555738814394735
1782436673.016840, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555738854915113
1782436673.017112, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 84952403918734822763788043733328325720, 1782436672.947240, 1, 7, 4555738855186905
1782436673.018679, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 27923026918649627584933523451510496593, 1782436673.018282, 1, 8, 4555738856759754
1782436673.020345, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555738858420411
1782436673.092560, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555738930645192
1782436673.093036, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555738931104216
1782436673.191864, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555739029944998
1782436673.192697, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 27923026918649627584933523451510496593, 1782436673.018282, 1, 8, 4555739030769431
1782436673.193670, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 337550762823549298091967779901542692493, 1782436673.193501, 1, 9, 4555739031755351
1782436673.195725, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555739033803033
1782436673.258187, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555739096272432
1782436673.258734, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555739096817184
1782436673.307391, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555739145472431
1782436673.308345, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 337550762823549298091967779901542692493, 1782436673.193501, 1, 9, 4555739146419951
1782436673.310140, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 99142773005289649333194149398568052173, 1782436673.309803, 1, 10, 4555739148254368
1782436673.311769, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555739149841825
1782436673.356269, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555739194346253
1782436673.357139, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555739195222046
1782436673.459678, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555739297761886
1782436673.459763, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 99142773005289649333194149398568052173, 1782436673.309803, 1, 10, 4555739297831406
1782436673.461131, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 296477554910125216812518735595940168080, 1782436673.460941, 1, 11, 4555739299221263
1782436673.462530, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555739300609760
1782436673.507617, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555739345699660
1782436673.508191, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555739346272956
1782436673.555847, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555739393928346
1782436673.556460, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 296477554910125216812518735595940168080, 1782436673.460941, 1, 11, 4555739394527835
1782436673.557885, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 65322946357429728552758131432510177694, 1782436673.557589, 1, 12, 4555739395977820
1782436673.559664, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555739397752493
1782436673.609459, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555739447543660
1782436673.610052, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 4555739448134140
1782436673.709606, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 4555739547689579
1782436673.709762, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 65322946357429728552758131432510177694, 1782436673.557589, 1, 12, 4555739547832923
1782436673.711210, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 174092214907026186245313370204123377532, 1782436673.710965, 1, 13, 4555739549287804
1782436673.712209, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 4555739550284092
1782436673.763374, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 4555739601457580
