1784005658.343029, EfficientNetv2 S Imagenette training, pipeline, prepare, start, 97527719927000
1784005658.343225, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, start, 97527720033583
1784005658.343527, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, end, 97527720334583
1784005658.343555, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, start, 97527720360625
1784005658.751061, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, end, 97528127791333
1784005658.751126, EfficientNetv2 S Imagenette training, pipeline, prepare, end, 97528127847583
1784005658.751516, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 169479261335240967105974907104026014133, 1784005658.751490, 1, 1, 97528128239750
1784005658.751602, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 97528128321041
1784005658.835053, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 97528211762666
1784005658.835105, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 97528211806250
1784005659.249698, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 97528626320333
1784005659.249752, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 169479261335240967105974907104026014133, 1784005658.751490, 1, 1, 97528626365958
1784005659.249915, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 78217395939293234148456331427447952775, 1784005659.249895, 1, 2, 97528626526666
1784005659.249978, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 97528626589416
1784005659.281349, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 97528657961125
1784005659.281397, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 97528658003333
1784005659.370934, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 97528747530791
1784005659.370991, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 78217395939293234148456331427447952775, 1784005659.249895, 1, 2, 97528747579833
1784005659.371161, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 226822696648146379876640916179550875958, 1784005659.371136, 1, 3, 97528747748916
1784005659.371230, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 97528747816791
1784005659.407609, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 97528784198250
1784005659.407663, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 97528784242708
1784005659.496772, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 97528873344458
1784005659.496830, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 226822696648146379876640916179550875958, 1784005659.371136, 1, 3, 97528873394000
1784005659.497009, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 243270366282960014212408515392342915509, 1784005659.496985, 1, 4, 97528873570083
1784005659.497075, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 97528873635875
1784005659.531074, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 97528907634875
1784005659.531126, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 97528907681000
1784005659.620501, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 97528997048458
1784005659.620560, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 243270366282960014212408515392342915509, 1784005659.496985, 1, 4, 97528997098083
1784005659.620734, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 157387820423057116361569833444753367468, 1784005659.620710, 1, 5, 97528997269500
1784005659.620847, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 97528997382375
1784005659.658254, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 97529034789208
1784005659.658302, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 97529034830916
1784005659.747449, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 97529123968166
1784005659.747503, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 157387820423057116361569833444753367468, 1784005659.620710, 1, 5, 97529124014666
1784005659.747688, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 126486017708569121714323364413506674688, 1784005659.747664, 1, 6, 97529124197833
1784005659.747764, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 97529124274375
1784005659.787389, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 97529163897458
