1784004133.293139, EfficientNetv2 S Imagenette training, pipeline, prepare, start, 96002710470625
1784004133.293325, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, start, 96002710566833
1784004133.293613, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, end, 96002710853666
1784004133.293635, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, start, 96002710874166
1784004133.690507, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, end, 96003107759541
1784004133.690578, EfficientNetv2 S Imagenette training, pipeline, prepare, end, 96003107821250
1784004133.690977, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 13094234578403994403193903506120256076, 1784004133.690949, 1, 1, 96003108219625
1784004133.691057, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 96003108300541
1784004133.741430, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 96003158679791
1784004133.741482, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 96003158725375
1784004134.156702, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 96003573953416
1784004134.156755, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 13094234578403994403193903506120256076, 1784004133.690949, 1, 1, 96003573996833
1784004134.156919, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 83640413474031943727848352026836145573, 1784004134.156898, 1, 2, 96003574158250
1784004134.156982, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 96003574220833
1784004134.191936, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 96003609181875
1784004134.191986, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 96003609226500
1784004134.281156, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 96003698406458
1784004134.281211, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 83640413474031943727848352026836145573, 1784004134.156898, 1, 2, 96003698453416
1784004134.281390, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 37806158728041376676145021924065736201, 1784004134.281367, 1, 3, 96003698630375
1784004134.281464, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 96003698704583
1784004134.317032, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 96003734278125
1784004134.317083, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 96003734323625
1784004134.406201, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 96003823450458
1784004134.406257, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 37806158728041376676145021924065736201, 1784004134.281367, 1, 3, 96003823498250
1784004134.406431, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 261096895577307704845478324698943261953, 1784004134.406407, 1, 4, 96003823670875
1784004134.406500, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 96003823738750
1784004134.444414, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 96003861661041
1784004134.444466, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 96003861706458
1784004134.533707, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 96003950957541
1784004134.533765, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 261096895577307704845478324698943261953, 1784004134.406407, 1, 4, 96003951006458
1784004134.533927, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 285961266784115344139726249482794304799, 1784004134.533902, 1, 5, 96003951166375
1784004134.534039, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 96003951277125
1784004134.566446, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 96003983690500
1784004134.566505, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 96003983745416
1784004134.655265, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 96004072513458
1784004134.655318, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 285961266784115344139726249482794304799, 1784004134.533902, 1, 5, 96004072559208
1784004134.655504, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 31399741746856102358269381354797598184, 1784004134.655478, 1, 6, 96004072743916
1784004134.655577, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 96004072815375
1784004134.689045, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 96004106291625
1784004134.689094, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 96004106333833
1784004134.778317, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 96004195564416
1784004134.778371, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 31399741746856102358269381354797598184, 1784004134.655478, 1, 6, 96004195612791
1784004134.778569, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 25678893182946310860025578941927836501, 1784004134.778544, 1, 7, 96004195807083
1784004134.778644, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 96004195882833
1784004134.816511, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 96004233755166
1784004134.816561, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 96004233800333
1784004134.905874, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 96004323122958
