1784005155.183823, EfficientNetv2 S Imagenette training, pipeline, prepare, start, 97024597815708
1784005155.184022, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, start, 97024597927500
1784005155.184313, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, prepare, end, 97024598217916
1784005155.184336, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, start, 97024598239000
1784005155.579805, EfficientNetv2 S Imagenette training, EfficientNet training, prepare, end, 97024993721500
1784005155.579879, EfficientNetv2 S Imagenette training, pipeline, prepare, end, 97024993787083
1784005155.580316, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 85112587202135355948725247241835792875, 1784005155.580288, 1, 1, 97024994226208
1784005155.580415, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 97024994323208
1784005155.627630, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 97025041544583
1784005155.627685, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 97025041591833
1784005156.053345, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 97025467261291
1784005156.053401, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 85112587202135355948725247241835792875, 1784005155.580288, 1, 1, 97025467307458
1784005156.053588, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 230754140220770635339722087741785992591, 1784005156.053567, 1, 2, 97025467494166
1784005156.053668, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 97025467571291
1784005156.088377, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end, 97025502290666
1784005156.088441, EfficientNetv2 S Imagenette training, EfficientNet training, run, start, 97025502347166
1784005156.177994, EfficientNetv2 S Imagenette training, EfficientNet training, run, end, 97025591910583
1784005156.178046, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 230754140220770635339722087741785992591, 1784005156.053567, 1, 2, 97025591951333
1784005156.178216, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 275012926053973455185469503444892737142, 1784005156.178196, 1, 3, 97025592119291
1784005156.178287, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start, 97025592190416
